月度,达人分层,达人ID,月度视频条数,月度总GMV,参与激励方案类型,实际获得激励金额,是否当月退出,达人流失率,资金消耗率,GMV投产比
2025-10,尾部,KOL_293,168,443.19,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_294,131,512.52,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_295,183,613.37,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_296,169,379.47,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_297,132,427.51,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_298,163,744.72,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_299,158,505.1,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_300,160,415.31,未达标,0.0,False,0.1333,0.5147,5.98
2025-11,头部,KOL_001,340,86177.93,条数+GMV叠加,1617.06,False,0.0333,1.0484,55.85
2025-11,头部,KOL_002,318,45736.21,条数+GMV叠加,896.54,False,0.0333,1.0484,55.85
2025-11,头部,KOL_003,334,98933.07,条数+GMV叠加,1749.13,False,0.0333,1.0484,55.85
2025-11,头部,KOL_004,292,69300.84,条数+GMV叠加,1298.81,False,0.0333,1.0484,55.85
2025-11,头部,KOL_005,365,64607.67,条数+GMV叠加,1052.86,False,0.0333,1.0484,55.85
2025-11,头部,KOL_006,313,101482.25,条数+GMV叠加,1775.52,False,0.0333,1.0484,55.85
2025-11,头部,KOL_007,403,74294.68,条数+GMV叠加,1340.18,False,0.0333,1.0484,55.85
2025-11,头部,KOL_008,352,54368.52,条数+GMV叠加,968.04,False,0.0333,1.0484,55.85
2025-11,头部,KOL_009,296,101140.34,条数+GMV叠加,1771.98,False,0.0333,1.0484,55.85
2025-11,头部,KOL_010,405,61962.65,条数+GMV叠加,1030.95,False,0.0333,1.0484,55.85
2025-11,头部,KOL_011,381,91340.8,条数+GMV叠加,1670.52,False,0.0333,1.0484,55.85
2025-11,头部,KOL_012,302,84182.77,条数+GMV叠加,1596.41,False,0.0333,1.0484,55.85
2025-11,头部,KOL_013,394,103461.26,条数+GMV叠加,1796.01,False,0.0333,1.0484,55.85
2025-11,头部,KOL_014,355,49969.32,条数+GMV叠加,931.6,False,0.0333,1.0484,55.85
2025-11,头部,KOL_015,259,47935.38,条数+GMV叠加,914.76,False,0.0333,1.0484,55.85
2025-11,头部,KOL_016,300,106009.11,条数+GMV叠加,1822.39,False,0.0333,1.0484,55.85
2025-11,头部,KOL_017,378,84485.85,条数+GMV叠加,1599.54,True,0.0333,1.0484,55.85
2025-11,头部,KOL_018,332,118140.82,条数+GMV叠加,1948.01,False,0.0333,1.0484,55.85
2025-11,头部,KOL_019,322,126751.01,条数+GMV叠加,2037.16,False,0.0333,1.0484,55.85
2025-11,头部,KOL_020,279,42198.15,条数+GMV叠加,867.23,False,0.0333,1.0484,55.85
2025-11,头部,KOL_021,280,82495.47,条数+GMV叠加,1578.94,False,0.0333,1.0484,55.85
2025-11,头部,KOL_022,302,90976.78,条数+GMV叠加,1666.75,False,0.0333,1.0484,55.85
2025-11,头部,KOL_023,283,72426.06,条数+GMV叠加,1324.7,False,0.0333,1.0484,55.85
2025-11,头部,KOL_024,343,53830.35,条数+GMV叠加,963.59,False,0.0333,1.0484,55.85
2025-11,头部,KOL_025,253,56897.41,条数+GMV叠加,988.99,False,0.0333,1.0484,55.85
2025-11,头部,KOL_026,275,68379.58,条数+GMV叠加,1291.18,False,0.0333,1.0484,55.85
2025-11,头部,KOL_027,300,107190.92,条数+GMV叠加,1834.63,False,0.0333,1.0484,55.85
2025-11,头部,KOL_028,242,67965.5,条数+GMV叠加,1287.75,False,0.0333,1.0484,55.85
2025-11,头部,KOL_029,297,61838.38,条数+GMV叠加,1029.92,False,0.0333,1.0484,55.85
2025-11,头部,KOL_030,344,67528.12,条数+GMV叠加,1284.13,False,0.0333,1.0484,55.85
2025-11,腰部,KOL_032,228,7844.61,条数+GMV叠加,558.31,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_033,201,5096.59,条数+GMV叠加,544.08,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_034,191,5997.98,条数+GMV叠加,548.75,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_035,200,3340.59,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_036,182,7469.15,条数+GMV叠加,556.37,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_037,183,3041.46,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_038,214,6067.95,条数+GMV叠加,549.11,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_039,198,4619.41,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_040,231,5429.08,条数+GMV叠加,545.81,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_041,172,4100.81,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_042,232,4704.32,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_043,237,5008.67,条数+GMV叠加,543.63,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_044,211,4870.19,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_045,220,4153.28,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_046,204,4373.11,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_047,215,4045.75,纯条数激励,310.62,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_048,189,3687.65,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_049,202,6613.4,条数+GMV叠加,551.94,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_050,264,5412.81,条数+GMV叠加,545.72,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_051,211,3295.6,纯条数激励,310.62,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_052,162,4086.14,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_053,182,4395.77,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_054,173,3160.67,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_055,187,4317.74,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_056,162,6288.98,条数+GMV叠加,550.26,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_057,170,2708.19,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_058,182,6463.53,条数+GMV叠加,551.16,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_059,208,6594.51,条数+GMV叠加,551.84,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_060,208,7051.82,条数+GMV叠加,554.21,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_061,272,6804.38,条数+GMV叠加,552.93,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_062,185,7532.86,条数+GMV叠加,556.7,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_063,202,6247.07,条数+GMV叠加,550.04,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_064,224,5948.26,条数+GMV叠加,548.49,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_065,172,3908.23,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_066,226,7451.56,条数+GMV叠加,556.28,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_068,194,3619.39,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_070,199,5129.52,条数+GMV叠加,544.25,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_071,253,4268.87,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_072,218,4608.67,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_073,185,3794.76,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_074,203,6515.49,条数+GMV叠加,551.43,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_075,185,5159.77,条数+GMV叠加,544.41,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_076,184,6059.8,条数+GMV叠加,549.07,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_077,264,6583.39,条数+GMV叠加,551.78,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_078,183,4617.1,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_079,202,4874.53,纯条数激励,310.62,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_080,210,4025.8,纯条数激励,310.62,True,0.0732,1.1683,11.94
2025-11,腰部,KOL_081,155,5480.38,条数+GMV叠加,546.07,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_083,183,4422.27,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_084,178,2607.75,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_085,207,4008.77,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_086,230,6101.18,条数+GMV叠加,549.28,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_087,204,5731.55,条数+GMV叠加,547.37,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_088,243,3353.39,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_089,230,3214.6,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_090,226,7364.54,条数+GMV叠加,555.83,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_091,217,6872.7,条数+GMV叠加,553.28,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_092,189,4881.7,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_093,196,5826.3,条数+GMV叠加,547.86,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_094,198,6455.79,条数+GMV叠加,551.12,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_095,184,3340.58,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_096,192,7290.39,条数+GMV叠加,555.44,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_097,214,5233.77,条数+GMV叠加,544.79,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_098,178,4852.96,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_099,213,6859.89,条数+GMV叠加,553.21,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_100,214,7558.14,条数+GMV叠加,556.83,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_101,187,3072.13,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_103,202,5899.22,条数+GMV叠加,548.24,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_104,250,6877.33,条数+GMV叠加,553.3,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_105,178,4692.9,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_106,201,5319.71,条数+GMV叠加,545.24,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_108,195,4062.69,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_109,186,3762.43,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_110,218,3453.13,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_111,209,5686.95,条数+GMV叠加,547.14,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_112,209,5655.12,条数+GMV叠加,546.98,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_113,207,4555.17,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_114,219,4489.37,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_117,199,3563.83,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_118,197,4583.88,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,腰部,KOL_120,212,5126.75,条数+GMV叠加,544.24,False,0.0732,1.1683,11.94
2025-11,尾部,KOL_122,118,341.4,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_123,173,418.93,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_125,128,520.4,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_126,153,570.36,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_127,152,539.53,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_128,162,348.85,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_129,155,521.75,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_130,154,638.5,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_131,174,490.96,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_132,158,531.62,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_133,189,611.63,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_134,178,522.54,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_136,143,509.28,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_137,168,560.15,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_138,137,376.56,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_139,145,464.61,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_140,162,501.97,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_141,187,533.99,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_142,170,607.02,纯条数激励,310.62,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_143,160,642.17,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_144,126,601.75,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_145,173,616.82,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_146,153,411.84,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_148,174,457.71,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_149,152,497.34,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_151,150,381.46,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_152,185,497.34,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_153,149,308.3,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_154,169,608.69,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_155,165,544.9,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_157,181,529.11,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_158,127,366.56,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_159,131,470.25,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_161,174,730.68,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_162,148,617.78,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_163,147,527.6,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_164,196,518.91,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_165,172,395.18,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_168,206,570.82,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_169,142,299.43,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_170,177,652.68,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_171,192,380.9,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_172,182,611.73,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_173,168,509.94,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_174,170,631.52,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_175,155,501.88,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_176,152,513.21,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_177,157,505.46,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_178,178,434.58,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_179,163,613.64,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_180,154,559.28,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_181,157,351.33,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_182,187,526.16,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_183,165,354.63,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_184,155,657.75,纯条数激励,310.62,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_185,128,566.37,纯条数激励,310.62,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_186,127,279.93,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_187,131,525.65,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_188,142,744.71,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_190,168,652.45,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_191,164,629.03,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_192,150,616.28,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_193,149,447.39,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_194,162,571.88,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_195,161,310.27,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_196,148,579.27,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_197,201,625.86,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_198,160,662.94,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_199,196,515.89,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_200,141,410.69,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_201,155,604.07,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_202,160,579.95,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_203,184,705.95,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_204,174,359.12,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_205,168,401.47,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_206,158,548.69,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_207,135,554.13,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_208,134,465.99,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_209,182,514.14,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_210,139,472.3,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_211,199,651.07,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_213,117,552.39,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_215,145,378.88,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_216,149,428.95,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_217,151,612.39,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_218,131,521.69,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_219,144,688.68,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_220,148,691.41,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_221,141,712.39,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_223,178,671.04,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_224,168,467.45,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_225,155,628.1,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_226,158,350.89,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_227,156,373.61,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_228,185,463.43,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_229,151,449.67,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_230,165,663.41,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_231,145,318.76,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_232,173,404.55,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_233,150,292.38,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_234,202,696.2,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_235,170,692.25,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_236,166,624.24,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_237,145,406.3,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_238,177,364.69,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_239,169,527.97,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_240,128,310.98,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_241,175,734.42,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_243,166,698.87,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_244,175,243.69,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_245,154,469.04,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_247,127,449.48,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_248,152,654.37,纯条数激励,310.62,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_249,168,652.53,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_250,169,646.27,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_251,142,440.88,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_252,161,393.07,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_255,158,533.31,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_257,178,667.48,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_258,171,565.73,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_259,146,448.16,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_260,163,476.48,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_261,127,348.93,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_262,120,393.59,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_263,121,471.06,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_265,143,597.97,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_266,157,550.19,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_267,149,507.62,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_268,156,383.75,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_270,147,715.76,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_271,152,343.45,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_272,159,451.05,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_273,168,598.51,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_274,130,558.37,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_276,148,555.93,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_277,127,244.12,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_278,142,524.7,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_279,218,681.03,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_280,161,556.24,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_281,151,667.62,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_282,148,622.23,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_283,201,431.27,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_284,177,837.08,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_285,153,731.84,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_287,164,622.97,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_288,165,313.16,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_289,144,367.21,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_290,184,453.69,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_291,173,662.92,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_293,184,632.87,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_294,145,523.09,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_295,165,634.63,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_296,153,269.77,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_297,148,379.56,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_298,151,670.88,纯条数激励,310.62,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_300,177,455.65,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,腰部,KOL_301,180,4756.8,纯条数激励,310.62,False,0.0732,1.1683,11.94
2025-11,尾部,KOL_302,141,537.11,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_303,117,202.0,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_304,133,262.56,未达标,0.0,True,0.1304,0.6005,4.6
2025-11,尾部,KOL_305,129,432.86,未达标,0.0,False,0.1304,0.6005,4.6
2025-11,尾部,KOL_306,142,353.44,未达标,0.0,False,0.1304,0.6005,4.6
2025-12,头部,KOL_001,337,87468.83,条数+GMV叠加,1627.67,False,0.0,1.0654,55.65
2025-12,头部,KOL_002,320,43169.08,条数+GMV叠加,873.8,False,0.0,1.0654,55.65
2025-12,头部,KOL_003,347,90613.91,条数+GMV叠加,1660.18,False,0.0,1.0654,55.65
2025-12,头部,KOL_004,273,63164.51,条数+GMV叠加,1039.14,False,0.0,1.0654,55.65
2025-12,头部,KOL_005,412,71621.94,条数+GMV叠加,1315.81,False,0.0,1.0654,55.65
2025-12,头部,KOL_006,296,100213.31,条数+GMV叠加,1759.41,False,0.0,1.0654,55.65
2025-12,头部,KOL_007,348,65168.02,条数+GMV叠加,1055.71,False,0.0,1.0654,55.65
2025-12,头部,KOL_008,311,48853.14,条数+GMV叠加,920.8,False,0.0,1.0654,55.65
